book_id_title,book_id,book_title,book_series,book_series_uri,isbn,isbn13,year_first_published,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution
91357,91357,The Devil's Arithmetic,,,0140345353,9780140345353,1988,Jane Yolen,170,"['Historical > Historical Fiction', 'Young Adult', 'World War II > Holocaust', 'Fiction', 'Historical', 'War > World War II', 'Science Fiction > Time Travel', 'Childrens > Middle Grade', 'Childrens', 'Fantasy']",57263,2476,4.01,"{'5 Stars': 22427, '4 Stars': 19457, '3 Stars': 10763, '2 Stars': 2785, '1 Star': 1831}"
48829708,48829708,To Sleep in a Sea of Stars,Fractalverse #1,/series/329345-fractalverse,1250762928,9781250762924,,Christopher Paolini,878,"['Science Fiction', 'Fiction', 'Fantasy', 'Adult', 'Audiobook', 'Space > Space Opera', 'Space', 'Science Fiction > Aliens', 'Science Fiction Fantasy', 'Young Adult']",35019,6305,3.79,"{'5 Stars': 9674, '4 Stars': 13230, '3 Stars': 8109, '2 Stars': 2951, '1 Star': 1055}"
7445,7445,The Glass Castle,,,0743247531,9780743247535,2005,Jeannette Walls,288,"['Nonfiction', 'Autobiography > Memoir', 'Biography', 'Biography Memoir', 'Biography > Autobiography', 'Book Club', 'Adult', 'Audiobook', 'Academic > School', 'Contemporary']",1017924,54484,4.28,"{'5 Stars': 508848, '4 Stars': 345103, '3 Stars': 122189, '2 Stars': 28054, '1 Star': 13730}"
6948436,6948436,Little Bee,,,0340963409,9780385665308,2008,Chris Cleave,275,"['Fiction', 'Cultural > Africa', 'Historical > Historical Fiction', 'Book Club', 'Contemporary', 'Adult Fiction', 'Adult', 'Western Africa > Nigeria', 'Literary Fiction', 'Audiobook']",234068,21618,3.71,"{'5 Stars': 53737, '4 Stars': 91130, '3 Stars': 63728, '2 Stars': 19355, '1 Star': 6118}"
32819894,32819894,Restart,,,1338053809,9781338053807,,Gordon Korman,256,"['Childrens > Middle Grade', 'Realistic Fiction', 'Young Adult', 'Fiction', 'Contemporary', 'Childrens', 'Academic > School', 'Audiobook', 'Humor', 'Childrens > Juvenile']",25907,3331,4.22,"{'5 Stars': 11603, '4 Stars': 9837, '3 Stars': 3437, '2 Stars': 718, '1 Star': 312}"
51045313,51045313,The Best Thing,,,0990429296,9780990429296,,Mariana Zapata,480,"['Romance', 'Contemporary', 'Romance > Contemporary Romance', 'Sports > Sports', 'Contemporary Romance > Sports Romance', 'Adult', 'New Adult', 'Fiction', 'Humor', 'Womens Fiction > Chick Lit']",22063,2507,4.0,"{'5 Stars': 8718, '4 Stars': 7259, '3 Stars': 4171, '2 Stars': 1303, '1 Star': 612}"
4556058,4556058,The Last Olympian,Percy Jackson and the Olympians #5,/series/40736-percy-jackson-and-the-olympians,0739380338,9780739380338,,Rick Riordan,381,"['Fantasy', 'Young Adult', 'Fantasy > Mythology', 'Fiction', 'Childrens > Middle Grade', 'Adventure', 'Mythology > Greek Mythology', 'Childrens', 'Fantasy > Urban Fantasy', 'Fantasy > Magic']",793133,28325,4.51,"{'5 Stars': 506680, '4 Stars': 204814, '3 Stars': 65157, '2 Stars': 11141, '1 Star': 5341}"
13526165,13526165,"Where'd You Go, Bernadette",,,0297867288,9780297867289,,Maria Semple,330,"['Fiction', 'Contemporary', 'Humor', 'Mystery', 'Audiobook', 'Womens Fiction > Chick Lit', 'Adult', 'Adult Fiction', 'Book Club', 'Novels']",525096,45402,3.88,"{'5 Stars': 144437, '4 Stars': 223326, '3 Stars': 119289, '2 Stars': 27952, '1 Star': 10092}"
6527740,6527740,Last Sacrifice,Vampire Academy #6,/series/42114-vampire-academy,1595144404,9781595144409,,Richelle Mead,594,"['Young Adult', 'Paranormal > Vampires', 'Fantasy', 'Fantasy > Paranormal', 'Romance', 'Fantasy > Urban Fantasy', 'Romance > Paranormal Romance', 'Fantasy > Supernatural', 'Fiction', 'Fantasy > Magic']",276004,11711,4.36,"{'5 Stars': 161301, '4 Stars': 71177, '3 Stars': 30084, '2 Stars': 8298, '1 Star': 5144}"
52225186,52225186,Eight Perfect Murders,Malcolm Kershaw #1,/series/324936-malcolm-kershaw,0062838199,9780062838193,,Peter Swanson,270,"['Mystery', 'Thriller', 'Fiction', 'Thriller > Mystery Thriller', 'Audiobook', 'Mystery > Crime', 'Adult', 'Suspense', 'Writing > Books About Books', 'Contemporary']",46420,7078,3.64,"{'5 Stars': 7458, '4 Stars': 19259, '3 Stars': 15847, '2 Stars': 3284, '1 Star': 572}"
52873094,52873094,Mexican Gothic,,,0525620788,9780525620785,,Silvia Moreno-Garcia,304,"['Horror', 'Fiction', 'Historical > Historical Fiction', 'Gothic', 'Mystery', 'Fantasy', 'Thriller', 'Adult', 'Historical', 'Audiobook']",206744,31717,3.69,"{'5 Stars': 45386, '4 Stars': 79808, '3 Stars': 58525, '2 Stars': 18234, '1 Star': 4791}"
42394599,42394599,The Magic Fish,,,0593125290,9780593125298,,Trung Le Nguyen,256,"['Sequential Art > Graphic Novels', 'LGBT', 'Young Adult', 'Sequential Art > Comics', 'Fantasy', 'LGBT > Queer', 'Fiction', 'Contemporary', 'Childrens > Middle Grade', 'Fantasy > Fairy Tales']",9712,2193,4.57,"{'5 Stars': 6374, '4 Stars': 2612, '3 Stars': 622, '2 Stars': 72, '1 Star': 32}"
52064314,52064314,Sex and Vanity,,,1786332272,9781786332271,2020,Kevin Kwan,336,"['Fiction', 'Romance', 'Contemporary', 'Womens Fiction > Chick Lit', 'Audiobook', 'Adult', 'Adult Fiction', 'Humor', 'Literature > Asian Literature', 'Cultural > Italy']",43741,4713,3.34,"{'5 Stars': 5757, '4 Stars': 12756, '3 Stars': 17504, '2 Stars': 6261, '1 Star': 1463}"
9413044,9413044,Everneath,Everneath #1,/series/62685-everneath,3789130400,9783789130403,,Brodi Ashton,370,"['Young Adult', 'Fantasy', 'Fantasy > Paranormal', 'Fantasy > Mythology', 'Romance', 'Romance > Paranormal Romance', 'Fantasy > Supernatural', 'Fantasy > Urban Fantasy', 'Fiction', 'Mythology > Greek Mythology']",50428,4490,3.74,"{'5 Stars': 15494, '4 Stars': 16175, '3 Stars': 11584, '2 Stars': 4616, '1 Star': 2559}"
51737,51737,The Truth About Forever,,,0141322926,9780141322926,,Sarah Dessen,374,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Womens Fiction > Chick Lit', 'Realistic Fiction', 'Young Adult > Teen', 'Young Adult > Young Adult Contemporary', 'Young Adult > Young Adult Romance', 'Young Adult > High School']",218757,8545,4.11,"{'5 Stars': 94270, '4 Stars': 71964, '3 Stars': 39522, '2 Stars': 9266, '1 Star': 3735}"
10692,10692,The Historian,,,0316011770,9780316011778,,Elizabeth Kostova,704,"['Fiction', 'Historical > Historical Fiction', 'Fantasy', 'Horror', 'Mystery', 'Paranormal > Vampires', 'Historical', 'Gothic', 'Fantasy > Paranormal', 'Thriller']",258642,16929,3.79,"{'5 Stars': 81338, '4 Stars': 85418, '3 Stars': 58199, '2 Stars': 22791, '1 Star': 10896}"
13158800,13158800,The Light Between Oceans,,,1451681755,9781451681758,2012,M.L. Stedman,362,"['Fiction', 'Historical > Historical Fiction', 'Cultural > Australia', 'Historical', 'Book Club', 'Romance', 'Adult', 'Adult Fiction', 'Audiobook', 'Drama']",430278,35979,4.02,"{'5 Stars': 146132, '4 Stars': 179260, '3 Stars': 80477, '2 Stars': 18089, '1 Star': 6320}"
5479,5479,Brave New World / Brave New World Revisited,,,8804487801,9788804487807,1958,Aldous Huxley,340,"['Classics', 'Fiction', 'Science Fiction', 'Science Fiction > Dystopia', 'Literature', 'Novels', 'Fantasy', 'Philosophy', 'Science Fiction Fantasy', 'Politics']",151436,1689,4.17,"{'5 Stars': 65434, '4 Stars': 54403, '3 Stars': 24635, '2 Stars': 5234, '1 Star': 1730}"
55099955,55099955,Pumpkin,Dumplin' #3,/series/181406-dumplin,0062880470,9780062880475,,Julie Murphy,336,"['Young Adult', 'LGBT', 'Contemporary', 'Romance', 'Audiobook', 'Fiction', 'Realistic Fiction', 'LGBT > Queer', 'Young Adult > Teen', 'Young Adult > Young Adult Contemporary']",4032,815,4.26,"{'5 Stars': 1668, '4 Stars': 1790, '3 Stars': 518, '2 Stars': 48, '1 Star': 8}"
3657138,3657138,Fade,Wake #2,/series/44553-wake,1416974482,9781416974482,,Lisa McMann,248,"['Young Adult', 'Fantasy', 'Fantasy > Paranormal', 'Romance', 'Fiction', 'Mystery', 'Fantasy > Supernatural', 'Young Adult > Teen', 'Fantasy > Urban Fantasy', 'Romance > Paranormal Romance']",55140,2418,3.89,"{'5 Stars': 19290, '4 Stars': 17860, '3 Stars': 12442, '2 Stars': 3909, '1 Star': 1639}"
56366617,56366617,Not a Happy Family,,,0385695047,9780385695046,,Shari Lapena,349,"['Mystery', 'Thriller', 'Thriller > Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Adult', 'Contemporary', 'Mystery > Crime', 'Adult Fiction']",62441,6064,3.85,"{'5 Stars': 14684, '4 Stars': 27837, '3 Stars': 16226, '2 Stars': 3041, '1 Star': 653}"
44077284,44077284,The Southern Book Club's Guide to Slaying Vampires,,,1683692519,9781683692515,,Grady Hendrix,404,"['Horror', 'Fiction', 'Fantasy', 'Paranormal > Vampires', 'Fantasy > Paranormal', 'Audiobook', 'Thriller', 'Adult', 'Mystery', 'Fantasy > Supernatural']",105871,17266,3.83,"{'5 Stars': 28844, '4 Stars': 43180, '3 Stars': 23658, '2 Stars': 7406, '1 Star': 2783}"
17234658,17234658,A Thousand Pieces of You,Firebird #1,/series/95183-firebird,8490434425,9788490434420,,Claudia Gray,368,"['Young Adult', 'Science Fiction', 'Fantasy', 'Romance', 'Science Fiction > Time Travel', 'Fiction', 'Science Fiction > Dystopia', 'Audiobook', 'Mystery', 'Adventure']",56949,7572,3.89,"{'5 Stars': 18362, '4 Stars': 21371, '3 Stars': 11574, '2 Stars': 3809, '1 Star': 1833}"
49534036,49534036,Anxious People,,,1982121602,9781982169633,2019,Fredrik Backman,346,"['Fiction', 'Contemporary', 'Audiobook', 'Mystery', 'Humor', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Health > Mental Health', 'Book Club']",347879,45513,4.21,"{'5 Stars': 159502, '4 Stars': 122239, '3 Stars': 50355, '2 Stars': 11996, '1 Star': 3787}"
29519514,29519514,Broken Prince,The Royals #2,/series/175170-the-royals,8416224498,9788416224494,,Erin Watt,370,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Young Adult > High School', 'Romance > Contemporary Romance', 'Fiction', 'Womens Fiction > Chick Lit', 'Audiobook', 'Drama']",75865,6588,4.01,"{'5 Stars': 29205, '4 Stars': 26030, '3 Stars': 14687, '2 Stars': 4391, '1 Star': 1552}"
46225061,46225061,The Two Lives of Lydia Bird,,,0593135911,9780593135914,2020,Josie Silver,369,"['Romance', 'Fiction', 'Contemporary', 'Womens Fiction > Chick Lit', 'Adult', 'Audiobook', 'Adult Fiction', 'Romance > Contemporary Romance', 'Magical Realism', 'Fantasy']",50044,6533,3.77,"{'5 Stars': 11220, '4 Stars': 20805, '3 Stars': 14069, '2 Stars': 3193, '1 Star': 757}"
6310,6310,Charlie and the Chocolate Factory,Charlie Bucket #1,/series/49497-charlie-bucket,0141301155,9780141301150,1964,Roald Dahl,176,"['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Young Adult', 'Childrens > Middle Grade', 'Humor', 'Adventure', 'Novels', 'Childrens > Juvenile']",747873,13545,4.14,"{'5 Stars': 324926, '4 Stars': 254764, '3 Stars': 129562, '2 Stars': 26252, '1 Star': 12369}"
17407748,17407748,The Longest Ride,,,1455584738,9781455584727,2012,Nicholas Sparks,398,"['Romance', 'Fiction', 'Contemporary', 'Womens Fiction > Chick Lit', 'Adult', 'Audiobook', 'Adult Fiction', 'Romance > Contemporary Romance', 'Drama', 'Love']",121610,10146,4.15,"{'5 Stars': 52170, '4 Stars': 42919, '3 Stars': 20593, '2 Stars': 4505, '1 Star': 1423}"
37976541,37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,,,0525431993,9780525431992,,John Carreyrou,339,"['Nonfiction', 'Business', 'Crime > True Crime', 'Audiobook', 'Science', 'Mystery > Crime', 'Biography', 'Science > Technology', 'History', 'Writing > Journalism']",215115,18841,4.39,"{'5 Stars': 117800, '4 Stars': 72591, '3 Stars': 17635, '2 Stars': 4165, '1 Star': 2924}"
