id,rating,started_at,read_at,book.id.#text,book.isbn13.@nil,book.text_reviews_count.#text,book.num_pages,book.publication_year,book.average_rating,book.ratings_count,user_id,book.isbn13
107952847,4,Sat Jul 10 00:00:00 -0700 2010,Mon Jul 12 00:00:00 -0700 2010,1399597,,18,390,2006,3.69,2132,2941288,9780316057936
107952537,3,Wed Jul 07 00:00:00 -0700 2010,Fri Jul 09 00:00:00 -0700 2010,2760876,,191,320,2008,3.75,2690,2941288,9781423101574
107951996,3,Tue Jun 29 00:00:00 -0700 2010,Wed Jun 30 00:00:00 -0700 2010,3817859,,1301,352,2009,3.72,12500,2941288,9780312380960
107951690,4,Wed Jul 21 00:00:00 -0700 2010,Thu Jul 22 00:00:00 -0700 2010,294817,,336,359,2004,3.97,5878,2941288,9780439530637
107951240,4,Wed Jul 14 00:00:00 -0700 2010,Fri Jul 16 00:00:00 -0700 2010,1062302,,17,372,2002,3.50,2550,2941288,9780743436847
107950747,5,Sun Jun 20 00:00:00 -0700 2010,Mon Jun 21 00:00:00 -0700 2010,428036,,574,560,2007,4.26,11915,2941288,9780060532291
107950389,3,Thu Jul 01 00:00:00 -0700 2010,Sat Jul 03 00:00:00 -0700 2010,6581271,,81,326,2010,3.35,25683,2941288,9780061767593
107949956,4,Mon Jun 21 00:00:00 -0700 2010,Tue Jun 22 00:00:00 -0700 2010,4880988,,108,329,2009,3.76,14641,2941288,9781595141927
107948812,5,Mon Jul 12 00:00:00 -0700 2010,Wed Jul 14 00:00:00 -0700 2010,248704,,10849,444,2007,4.09,234820,2941288,9780786851973
107948569,3,Fri Jul 16 00:00:00 -0700 2010,Tue Jul 20 00:00:00 -0700 2010,6304918,,31,324,2009,3.35,7106,2941288,9780763643072
107944720,3,Tue Jun 22 00:00:00 -0700 2010,Thu Jun 24 00:00:00 -0700 2010,6449916,,817,336,2009,3.00,5100,2941288,9781599903729
107727324,3,Thu Jul 29 00:00:00 -0700 2010,Fri Jul 30 00:00:00 -0700 2010,3700085,,2603,312,2009,3.94,18466,2941288,9780545054744
107601988,2,,,442113,,51,160,2006,3.47,349,2941288,9781581960419
107601958,2,,,2994319,,20,174,2008,3.47,76,2941288,9781581960709
107347616,4,Sun Aug 29 00:00:00 -0700 2010,Mon Aug 30 00:00:00 -0700 2010,283664,,165,72,1992,3.75,120565,2941288,9780486270623
107347183,3,Sat Aug 21 00:00:00 -0700 2010,Mon Aug 30 00:00:00 -0700 2010,713865,,4,400,2004,3.84,57157,2941288,9781593081034
107345678,4,Mon Aug 02 00:00:00 -0700 2010,Wed Aug 04 00:00:00 -0700 2010,7091370,,2196,389,2010,3.56,37157,2941288,9780061728914
107100728,4,Mon Nov 08 14:18:10 -0800 2010,Sun Nov 14 09:02:48 -0800 2010,410428,,1201,448,2007,3.96,295877,2941288,9780743298032
106828924,4,Wed Mar 23 00:00:00 -0700 2011,Thu Mar 24 00:00:00 -0700 2011,8288246,,1626,327,2011,3.95,22070,2941288,9781442403390
106827573,4,Sat Sep 18 00:00:00 -0700 2010,Thu Sep 23 00:00:00 -0700 2010,6512140,,3679,480,2009,3.65,37753,2941288,9780385733977
106209703,4,Thu Mar 10 15:41:43 -0800 2011,Sat Mar 12 20:26:09 -0800 2011,28078,,3039,427,2004,3.80,98734,2941288,9780812968972
105843236,2,Fri Apr 22 00:00:00 -0700 2011,Wed Apr 27 00:00:00 -0700 2011,8542996,,552,367,2011,4.12,6605,2941288,9781416994084
105665209,4,,Wed Nov 06 22:09:42 -0800 2013,4667024,,77395,464,2009,4.46,2398629,2941288,9780399155345
104957195,2,Sat Jun 12 00:00:00 -0700 2010,Fri Jun 18 00:00:00 -0700 2010,8241718,,8,352,2010,3.58,6094,2941288,9781442406414
104956789,4,Sat Jun 19 00:00:00 -0700 2010,Sun Jun 20 00:00:00 -0700 2010,7531734,,547,278,2010,3.98,8317,2941288,9781416999515
104789307,4,,Wed Jun 09 14:54:10 -0700 2010,8852,,10061,249,2013,3.90,756485,2941288,9780743477109
104411596,2,,,969555,,12,307,2003,3.09,552,2941288,9780689867699
103603882,4,Mon May 21 16:02:19 -0700 2012,Mon May 21 21:30:59 -0700 2012,7848975,,42,384,2010,3.50,5193,2941288,9780547411668
102823115,4,Fri Aug 05 00:00:00 -0700 2011,Sat Aug 06 00:00:00 -0700 2011,6686101,,1795,494,2011,4.18,51812,2941288,9780061449123
102693033,2,Mon Feb 28 00:00:00 -0800 2011,Fri Mar 04 00:00:00 -0800 2011,6751356,,1895,290,2010,3.71,15839,2941288,9780061706547
102528311,3,,,490980,,482,247,2005,3.66,5301,2941288,9781416907176
4460950978,3,,,59086656,true,2,427,2021,3.59,17,5696018,
4423737496,4,Tue Jan 04 00:00:00 -0800 2022,Tue Jan 04 08:32:40 -0800 2022,54739125,,241,112,2021,3.93,1485,5696018,
4423719426,5,Sat Jan 01 00:00:00 -0800 2022,Mon Jan 03 11:20:55 -0800 2022,52772417,,4788,448,2021,4.30,36522,5696018,
4423714598,4,Wed Dec 29 00:00:00 -0800 2021,Thu Dec 30 11:07:37 -0800 2021,52735921,,9516,372,,4.01,87218,5696018,
4391254908,4,,,59714520,,4,429,2021,3.49,41,5696018,
4378217461,4,Thu Dec 09 00:00:00 -0800 2021,Sun Dec 12 00:00:00 -0800 2021,59448568,true,0,,2021,4.04,11103,5696018,
4374493708,1,Mon Dec 06 00:00:00 -0800 2021,Mon Dec 06 07:55:07 -0800 2021,23164522,,6,260,2014,3.07,106,5696018,
4367187964,4,Sun Nov 28 00:00:00 -0800 2021,Wed Dec 01 00:00:00 -0800 2021,13425531,,79,12,2011,3.89,316630,5696018,
4365582462,1,Tue Nov 30 00:00:00 -0800 2021,Wed Dec 01 05:52:27 -0800 2021,29634805,,3,508,2011,4.16,34855,5696018,
4363639036,2,,,608474,,3952,129,2001,3.91,133882,5696018,
4363635471,2,Tue Nov 30 00:00:00 -0800 2021,Tue Nov 30 05:11:31 -0800 2021,102868,,8401,123,2005,4.14,376899,5696018,
4361834546,2,Mon Nov 29 00:00:00 -0800 2021,Mon Nov 29 04:30:49 -0800 2021,35159662,,5,137,2017,3.30,30,5696018,
